Designator,Mid X,Mid Y,Rotation,Layer
BT1,149.57,-82.748075,0.0,top
D1,162.23,-97.5,0.0,top
D2,162.23,-104.97,0.0,top
D3,162.23,-112.44,0.0,top
R1,142.56,-95.79,0.0,top
R2,142.56,-99.84,0.0,top
R3,142.56,-103.89,0.0,top
SW1,153.22,-98.04,0.0,top
SW2,153.22,-106.59,0.0,top
SW3,153.22,-115.14,0.0,top
